time,coarse_droplet_counts_fluid_1,splash_height_fluid_1,droplet_radii_fluid_1,max_vertical_velocity_fluid_1
0,"[0, 0, 0]",0.4975,[],0
0.01,"[0, 0, 0]",0.497321791252669,[],0
0.02,"[0, 0, 0]",0.496378763973644,[],0
0.03,"[0, 0, 0]",0.494755190429089,[],0
0.04,"[0, 0, 0]",0.49254868988788,[],0
0.05,"[0, 0, 0]",0.489782364409854,[],0
0.06,"[0, 0, 0]",0.486442015168858,[],0
0.07,"[0, 0, 0]",0.482554326786109,[],0
0.08,"[0, 0, 0]",0.478204748358115,[],0
0.09,"[0, 0, 0]",0.47338246115592,[],0
0.1,"[0, 0, 0]",0.468137005262542,[],0
0.11,"[0, 0, 0]",0.462564694732278,[],0
0.12,"[0, 0, 0]",0.456664418925694,[],0
0.13,"[0, 0, 0]",0.450484855597088,[],0
0.14,"[0, 0, 0]",0.444128755313281,[],0
0.15,"[0, 0, 0]",0.437595113742178,[],0
0.16,"[0, 0, 0]",0.430941876399864,[],0
0.17,"[0, 0, 0]",0.424221994224871,[],0
0.18,"[0, 0, 0]",0.417471780341203,[],0
0.19,"[0, 0, 0]",0.410686342985525,[],0
0.2,"[0, 0, 0]",0.403921464926035,[],0
0.21,"[0, 0, 0]",0.397209015725898,[],0
0.22,"[0, 0, 0]",0.390499481583926,[],0
0.23,"[0, 0, 0]",0.38380614392795,[],0
0.24,"[0, 0, 0]",0.377158301108158,[],0
0.25,"[0, 0, 0]",0.370532914342971,[],0
0.26,"[0, 0, 0]",0.363928797193821,[],0
0.27,"[0, 0, 0]",0.357304713215238,[],0
0.28,"[0, 0, 0]",0.3506890015528,[],0
0.29,"[0, 0, 0]",0.344095857697195,[],0
0.3,"[0, 0, 0]",0.337524947692394,[],0
0.31,"[0, 0, 0]",0.330944507273429,[],0
0.32,"[0, 0, 0]",0.324391622517598,[],0
0.33,"[0, 0, 0]",0.317861354459857,[],0
0.34,"[0, 0, 0]",0.311365215676011,[],0
0.35,"[0, 0, 0]",0.304888376930938,[],0
0.36,"[0, 0, 0]",0.29844995174279,[],0
0.37,"[0, 0, 0]",0.292053562969442,[],0
0.38,"[0, 0, 0]",0.285701291471497,[],0
0.39,"[0, 0, 0]",0.279410867474201,[],0
0.4,"[0, 0, 0]",0.27319935537712,[],0
0.41,"[0, 0, 0]",0.267024426588503,[],0
0.42,"[0, 0, 0]",0.260914400648226,[],0
0.43,"[0, 0, 0]",0.254885237582609,[],0
0.44,"[0, 0, 0]",0.248934510114728,[],0
0.45,"[0, 0, 0]",0.264446523650253,[],0
0.46,"[0, 0, 0]",0.33414887212309,[],0
0.47,"[0, 0, 0]",0.395294233906763,[],0
0.48,"[0, 0, 0]",0.463762811252206,[],0
0.49,"[0, 0, 1]",0.524251653405526,[0.02616661694061015],6.7707629716336
0.5,"[0, 0, 1]",0.587713817907429,[0.02616661694061015],6.98727079036777
0.51,"[0, 0, 2]",0.649208759001118,"[0.04034949034588166, 0.02616661694061015]",7.16178674545208
0.52,"[0, 0, 3]",0.714026301498396,"[0.04034949034588166, 0.05083717223930627, 0.02616661694061015]",6.7688513983411
